"# Dexity Intel — real job descriptions backing this role's article. Source: public ATS boards (Greenhouse/Lever/Ashby) official JSON APIs. Snapshot: July 2026, rolling scan. Each row is a real posting — verify by searching the title at the company."

company,job_title,word_count
scaleai,"AI Deployment Strategist, Enterprise",1091
scaleai,"AI Deployment Strategist, Healthcare & Life Sciences",1047
scaleai,"Deployment Engineering Manager, Enterprise",949
scaleai,Deployment Strategist ,1494
scaleai,"Director, Forward Deployed Engineering",1100
scaleai,"Director of Product Management, Forward Deployed & Strategy",493
scaleai,"Forward Deployed Engineer, GenAI ",1118
scaleai,"Forward Deployed Product Manager, Enterprise",1146
scaleai,"Forward Deployed Software Engineer, Public Sector",1134
scaleai,Machine Learning Solutions Engineer – Robotics ,1093
scaleai,"Principal Solutions Engineer, Enterprise",955
scaleai,"Senior Full-Stack Software Engineer, (Forward Deployed), GPS",710
scaleai,Solutions Engineer (Clearance Required),823
scaleai,"Solutions Engineer, Enterprise",908
scaleai,Solutions Engineer – Robotics & Autonomous Driving,1094
scaleai,"Sr Staff ML Forward Deployed Engineer, Enterprise GenAI",538
scaleai,"Staff Full-Stack Software Engineer, (Forward Deployed), GPS",778
scaleai,"Staff FullStack Software Engineer, (Forward Deployed), GPS",909
arizeai,"Forward Deployed AI Engineer, East",774
arizeai,"Forward Deployed AI Engineer, EMEA",748
arizeai,"Forward Deployed AI Engineer, West",775
arizeai,"Forward Deployed Engineer, APJ",693
databricks,AI Engineer - FDE (Forward Deployed Engineer),583
databricks,Deployment Strategist,666
databricks,"Director, AI Forward Deployed Engineering (FDE)",799
databricks,"Field Technical Program Manager, Forward Deployed Engineering - LATAM",744
databricks,Forward Deployed Engineer,769
databricks,Forward Deployed Engineer - Emerging Enterprise & DNB,785
databricks,Forward Deployed Engineer - FDE (Fullstack),769
databricks,Forward Deployed Engineer - FDE (Fullstack) - Digital Native Business ,898
databricks,"Head of AI Forward Deployed Engineering (FDE), Public Sector",857
databricks,"Manager, Forward Deployed Engineering",743
databricks,"Manager, Forward Deployed Engineering - CMEG",892
databricks,"Manager, Forward Deployed Engineering - Manufacturing",888
databricks,Pre-sales Senior Technical Solutions Engineer (Data and AI),710
databricks,Pre-sales Senior Technical Solutions Engineer (Data and AI) x4,719
databricks,Senior Forward Deployed Engineer,770
databricks,Senior Forward Deployed Engineer - Full stack,770
databricks,"Senior Forward Deployed Engineer, Full Stack",781
databricks,"Senior Manager, Forward Deployed Engineering (Full Stack) x 2 New roles",686
databricks,Senior ML & AI Technical Solutions Engineer ,818
databricks,Senior Solutions Engineer,601
databricks,Senior Solutions Engineer - Qatar & S.Africa Fly-in,779
databricks,Senior Specialist Solutions Engineer (AI/ML),700
databricks,Senior Technical Solutions Engineer (Platform),500
databricks,Sr. AI Engineer - FDE (Forward Deployed Engineer) - U.S. Federal Sector,761
databricks,"Sr. Engagement Manager, Forward Deployed Engineering",610
databricks,"Sr. Engagement Manager, Forward Deployed Engineering - LATAM",461
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering",875
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering - Canada",746
databricks,"Sr. Field Technical Program Manager, Forward Deployed Engineering - Public Sector",885
databricks,Sr Forward Deployed Engineer,769
databricks,Sr. Forward Deployed Engineer,571
databricks,"Sr. Forward Deployed Engineer - Communications, Media, Entertainment & Games",926
databricks,"Sr. Forward Deployed Engineer- Communications, Media, Entertainment & Games",926
databricks,"Sr. Forward Deployed Engineer-Communications, Media, Entertainment & Games",926
databricks,Sr. Forward Deployed Engineer (FDE) - Healthcare & Life Sciences,943
databricks,Sr. Forward Deployed Engineer (FDE)- Healthcare & Life Sciences,943
databricks,Sr. Forward Deployed Engineer (FDE) - Manufacturing,923
databricks,Sr. Forward Deployed Engineer (FDE)- Manufacturing,923
databricks,Sr. Forward Deployed Engineer (FDE) - Public Sector,969
databricks,Sr. Forward Deployed Engineer(FDE) - Public Sector,969
databricks,Sr. Forward Deployed Engineer - Financial Services,922
databricks,Sr. Forward Deployed Engineer - Public Sector,966
databricks,"Sr. Manager, AI Forward Deployed Engineering (AI-FDE) – EMEA",713
databricks,Sr. Solutions Engineer,813
databricks,Sr. Solutions Engineer - AI Natives Business,719
databricks,Sr. Solutions Engineer - MFG,682
databricks,Sr. Solutions Engineer - Public Sector (Defense Industrial Base),739
databricks,Sr. Solutions Engineer - Public Sector (DoW - 4th Estate),738
databricks,Sr. Solutions Engineer - Public Sector (Federal Civilian),743
databricks,"Sr. Solutions Engineer, Retail - CPG",565
databricks,Sr Technical Solutions Engineering,995
databricks,"Sr. Technical Solutions Engineer, Platform",511
databricks,Staff Forward Deployment Engineer,572
brex,"Software Engineer, Forward Deployed Agent Builder",629
gitlab,Forward Deployed Engineer - Germany,1169
gitlab,Forward Deployed Engineer - META,1169
gitlab,Forward Deployed Engineer - UK,1171
cloudflare,Field Solutions Engineer ,1661
cloudflare,Field Solutions Engineer Brazil (US based),1680
cloudflare,Forward Deployed Engineer,1398
cloudflare,Forward Deployed Engineer (FDE),1512
cloudflare,"Forward Deployed Engineer, Professional Services",1384
cloudflare,"Principal Partner Solutions Engineer, SAARC (Based in Bangalore)",1517
cloudflare,Senior Field Solutions Engineer ,1665
cloudflare,Senior Forward Deployed Engineer,1545
cloudflare,"Senior Manager, Solutions Engineering",1478
cloudflare,"Senior Manager, Solutions Engineering Pre-Sales, Northern Europe",1504
cloudflare,Senior Solutions Engineer - Arizona,1507
cloudflare,Senior Solutions Engineer - Brazil (US based),1395
cloudflare,Senior Solutions Engineer - Calgary,1204
cloudflare,Senior Solutions Engineer - Digital Native Enterprise - West,1775
cloudflare,"Senior Solutions Engineer, Enterprise Accounts - Charlotte or Raleigh, NC",1358
cloudflare,"Senior Solutions Engineer, Enterprise Accounts - Miami",1359
cloudflare,"Senior Solutions Engineer, Enterprise Accounts - NYC",1508
cloudflare,"Senior Solutions Engineering Manager, Majors - West",1260
cloudflare,"Senior Solutions Engineering Manager, Named - Central",1612
cloudflare,"Senior Solutions Engineering Manager, Named - North California",1617
cloudflare,Senior Solutions Engineer LATAM-MCR  (Mexico City),1666
cloudflare,"Senior Solutions Engineer, Majors",1477
cloudflare,"Senior Solutions Engineer, Majors - NYC",1413
cloudflare,"Senior Solutions Engineer, Majors, Philadelphia or Pittsburgh ",1493
cloudflare,"Senior Solutions Engineer, Majors, Raleigh, NC",1203
cloudflare,"Senior Solutions Engineer, Majors, San Francisco",1489
cloudflare,Senior Solutions Engineer - Mid-Market Tampa,1383
cloudflare,"Senior Solutions Engineer, Named Accounts - Cincinnati, OH",1484
cloudflare,Senior Solutions Engineer - New England,1507
cloudflare,Senior Strategic Solutions Engineer,1238
cloudflare,"Senior Strategic Solutions Engineer, Delhi NCR",1237
cloudflare,Solutions Engineer,1298
cloudflare,"Solutions Engineer, Benelux",1560
cloudflare,"Solutions Engineer, Central & Eastern Europe - Hebrew Speaking",1784
cloudflare,"Solutions Engineering Manager, Commercial -  West",1278
cloudflare,"Solutions Engineer Manager, Associate Programs",1169
cloudflare,"Solutions Engineer, Nordics",1269
asana,"Enterprise Solutions Engineer, Service Management",825
asana,Forward Deployed Engineer,857
asana,"SMB Solutions Engineer, Client Management",943
asana,Solutions Engineer,943
asana,"Solutions Engineer, Command",1149
instacart,Forward Deployed Engineer,803
instacart,"Senior Software Engineer II, Ads Data Solutions Engineering",1029
datadog,Datadog for Startups - Forward Deployed Engineering Lead,1161
mongodb,"Senior Software Engineer, Forward Deployed AI Engineer",1041
twilio,Forward Deployed Engineer,1345
affirm,AI Solutions Engineer,1102
verkada,Associate Solutions Engineering Program Manager,958
verkada,"Enterprise Solutions Engineer, Alberta",861
verkada,"Enterprise Solutions Engineer, Central Corp",890
verkada,"Enterprise Solutions Engineering Manager, Canada",788
verkada,"Enterprise Solutions Engineering Manager, Central SLED",809
verkada,"Enterprise Solutions Engineer, Ohio/Indiana, SLED",887
verkada,"Enterprise Solutions Engineer, West Coast",892
verkada,Global Solutions Engineer,1010
verkada,Solutions Engineer,851
verkada,"Solutions Engineer, ASEAN",949
verkada,Solutions Engineer - ATL,849
verkada,"Solutions Engineering Director, Associate Program",952
verkada,"Solutions Engineering Manager, EMEA ",638
verkada,"Solutions Engineering Manager, Select & Territory",823
webflow,Lead Solutions Engineer - West,1258
webflow,"Senior Manager, Solutions Engineering - EMEA",1145
webflow,Senior Solutions Engineer - West,1235
hivewatch,Physical Security Systems Engineer (Forward Deployed),692
airbnb,"Senior Business Solutions Engineer, BizTech",688
stripe,"Backend Engineer, Forward Deployed Engineering",970
stripe,"Engineering Manager, Forward Deployed (Privy)",515
stripe,"Forward Deployed AI Accelerator, Marketing",873
stripe,"Forward Deployed Engineer, Privy",564
stripe,"Forward Deployed Integration Engineer, Professional Services",626
stripe,"Solutions Engineer, Privy",358
stripe,Technical Solutions Engineer,823
okta,Principal Forward Deployed Engineer,1001
okta,Principal Forward Deployed Engineer - Okta for AI Agents,1049
okta,Senior Forward Deployed Engineer - Okta for AI Agents,1081
okta,Senior Solutions Engineer,1048
okta,"Senior Solutions Engineer, Auth0",853
okta,Senior Solutions Engineer (North East),1020
okta,"Senior Solutions Engineer, Okta (Mid Atlantic)",1020
okta,Senior Solutions Engineer - Strategic,937
okta,"Senior Solutions Engineer, Strategic (Chicago)",895
okta,Senior Solutions Engineer- West Coast,916
okta,Solutions Engineer,944
okta,"Solutions Engineer, Auth0 - German speaking",771
okta,"Solutions Engineer, Okta (West Coast)",1073
okta,Sr Solutions Engineer - Japan,1079
okta,Strategic Solutions Engineer,916
pinterest,AI Solutions Engineer,1342
pinterest,"Sr. Production Engineer, Solutions Engineering",1120
toast,Senior Solutions Engineer,778
hightouch,Forward Deployed Creative Strategist,708
hightouch,Forward Deployed Marketing Data Scientist,983
hightouch,"Manager, Solutions Engineering",781
hightouch,"Manager, Solutions Engineering, Mid-Market",781
hightouch,Partner Solutions Engineer,792
hightouch,Solutions Engineer - EMEA,574
hightouch,"Solutions Engineer, Enterprise East (Pre-Sales)",1135
hightouch,"Solutions Engineer, Enterprise (Pre-Sales) - German speaking ",1035
hightouch,"Solutions Engineer, Enterprise West (Pre-Sales)",1135
hightouch,"Solutions Engineer, Mid-Market (Pre-Sales)",980
hightouch,"Solutions Engineer, Senior Enterprise (Pre-Sales)",1136
amplitude,Engineering: Senior Customer Forward Deployed Engineer,1241
amplitude,Senior Solutions Engineer,679
mixpanel,"Manager, Solutions Engineering ",1218
mixpanel,Senior Solutions Engineer,1008
postman,Corporate Solutions Engineer,975
postman,"Corporate Solutions Engineer, Nordics",948
postman,"Corporate Solutions Engineer, UK",808
postman,Enterprise Solutions Engineer,980
postman,"Enterprise Solutions Engineer, Israel ",949
