"# Dexity Intel — real job descriptions backing this role's article. Source: public ATS boards (Greenhouse/Lever/Ashby) official JSON APIs. Snapshot: July 2026, rolling scan. Each row is a real posting — verify by searching the title at the company."

company,job_title,word_count
scaleai,"AI Strategy Consultant, Frontier Tech",646
databricks,"Director, AI Forward Deployed Engineering (FDE)",799
databricks,"Head of AI Forward Deployed Engineering (FDE), Public Sector",857
databricks,"Product Marketing Director, AI",694
brex,"Manager, CX AI Strategy",1183
airtable,"Director, AI Transformation & Customer Success",949
mongodb,"Head of AI Platform, GM ",903
gusto,Head of AI and Machine Learning Engineering,1433
gusto,"Head of Product, Payroll",1222
sofi,"Director, AI Platforms",1034
mercury,Head of Product - Business Lending,859
securityscorecard,Head of Product Operations and AI Transformation,1185
hightouch,AI Strategy Consultant ,691
amplitude,Head of Product Design,1464
mixpanel,Head of Product Marketing,1153
postman,Head of AI Platform Engineering,835
block,"Head of Product, Trust (Risk/Identity)",1128
zscaler,"Director, AI Security Specialist",1153
zscaler,"Director, AI Security Specialist - EMEA",1074
nuro,Head of Product,1170
mistral,"Executive Assistant to VP, Cloud and VP, Product",534
jobgether,Data Governance & AI Strategy Advisor,500
jobgether,"Director, AI Engineering",393
jobgether,"Director, AI Innovation",473
jobgether,Head of Product,504
jobgether,Head of Product - Core Team,425
jobgether,VP Product,384
jobgether,"VP, AI Strategy & Operations",495
veeva,Senior Consultant / Consultant - AI Strategy,591
cursor,"Regional Director, AI Deployment",392
